File Reference No:,Date (YYYY-MM-DD),Start Time,End Time,Work Particulars
2017-100,2020-03-16,10:00 AM,10:10 AM,Draft and transmit status report on filing of Partial MR
2017-027,2020-03-10,08:00 AM,12:00 PM,Follow up with BIR ITAD status of filings. Draft and transmit summary report. 
2018-011,2020-03-10,08:00 AM,12:00 PM,Follow up with BIR ITAD status of filings. Draft and transmit summary report. 
2018-080,2020-03-23,02:00 PM,02:10 PM,Update regarding meeting of stockholders via remote communication 
2018-187,2020-03-26,03:10 PM,04:10 PM,Review latest draft of Main Body - Dolefil from Meg's email dated 26 March 2020
2018-187,2020-03-30,01:00 PM,02:00 PM,Review Site Lease Agreement for Dolefil 
2018-187,2020-03-31,11:00 AM,11:15 AM,Further review Site Lease Agreement for Dolefil addressing comments of Watchman Hiquiana in email dated 30 March 2020
2018-187,2020-03-31,11:40 AM,1:00 PM,"Revise latest draft of Stanfilco, arrange Schedules. Provide summary to Dolefil. "
2018-187,2020-04-14,10:00 AM,11:00 AM,Further review Schedule 3; draft emails to Watchman Hiquiana and Meg Honrado of Symbior 
2018-187,2020-04-20,11:00 AM,11:25 AM,Review Lease Contract dated 09 October 2005. Draft and transmit reply to Watchman Hiquiana. Transmit Lease Contract dated 09 October 2005 to Symbior. 
2019-076,2020-03-31,06:00 PM,06:10 PM,Increase in ACS Reply and Update 
2019-076,2020-04-03,02:00 PM,03:00 PM,Phone conference to discuss status of application for increase and action steps moving forward
2019-087,2020-03-25,08:30 AM,08:40 AM,Review reply regarding status of application for change of calendar year with RDO 44
2019-087,2020-04-20,06:00 AM,06:10 AM,Review reply to Atty. Joustine Campana on how to proceed with BIR RDO 44 application for change of calendar year
2019-098,2020-03-23,02:00 PM,02:10 PM,Update regarding meeting of stockholders via remote communication 
2019-098,2020-03-26,03:00 PM,03:10 PM,Advise Orion on remote communication
2019-129,2020-04-20,04:00 PM,04:20 PM,Advise on BSP registration 
2019-143,2020-03-18,04:00 AM,04:10 AM,Reply to email on Verification / Certification and advice on status of NLRC during ECQ
2019-143,2020-03-19,08:00 AM,12:00 PM,Revise Position Paper
2019-143,2020-03-20,08:30 AM,09:30 AM,Continue to review and revise Position Paper 
2019-143,2020-03-20,05:00 PM,05:20 PM,Further review Position Paper
2019-143,2020-03-22,08:00 PM,08:10 PM,Advise on reschedule of filing of Position Paper pursuant to NLRC COVID-19 Advisory 5
2019-147,2020-03-14,09:00 AM,09:15 AM,Coordinate with BI on suspended operations during CQ and ECQ
2019-147,2020-03-17,09:00 AM,09:10 AM,Cooridnate with Martina Lobregat regaridng the suspension of BI operations
2019-147,2020-03-18,01:00 PM,01:30 PM,Reply to query of Martina Lobregat dated 17 March 2020
2019-147,2020-03-19,07:00 PM,07:10 PM,Advise Gastroleku re: Advisory dated 19 March 2020
2019-168,2020-03-18,12:00 PM,01:00 AM,"Draft Manifestation, and advice on status of NLRC filings. "
2019-180,2020-03-23,02:10 PM,02:15 PM,Talk to Jam; Update status report to Joey
2019-182,2020-03-23,07:00 PM,07:10 PM,Update Atty. Loy Dumadag re status of AEP card
2020-003,2020-03-22,07:50 PM,08:00 PM,Email SEC to extend manual reservation of Kinesso 
2020-003,2020-03-23,08:00 PM,08:10 PM,Follow up with SEC re manual reservation of name Kinesso
2020-003,2020-03-25,11:00 AM,11:10 AM,Follow up re manual name reservation of Kinesso
2020-003,2020-04-02,03:00 PM,03:10 PM,Follow up re manual name reservation of Kinesso
2020-003,2020-04-14,07:00 PM,07:10 PM,Reply to Mr. Caloy Sulit of SEC Name Reservation to extend Kinesso Name
2020-013,2020-03-23,08:00 PM,08:10 PM,Follow up with SEC re amendment to include Ensemble 
2020-013,2020-03-25,11:00 AM,11:10 AM,Follow up with SEC re amendment to include Ensemble 
2020-013,2020-04-02,03:10 PM,03:20 PM,Follow up with SEC re amendment to include Ensemble 
2020-016,2020-03-23,01:10 PM,01:20 PM,Follow up with SEC re amendment to include OpenMind
2020-016,2020-03-25,11:00 AM,11:10 AM,Follow up with SEC re amendment to include OpenMind
2020-019,2020-03-24,02:00 PM,03:00 PM,Internal Meeting 
2020-019,2020-03-24,09:00 PM,10:00 PM,Prepare for phone conference. 
2020-019,2020-03-25,09:00 AM,10:00 AM,Attend phone conferece with GSK team. 
2020-019,2020-03-25,10:00 AM,10:45 AM,Attend phone conferece with GSK team. 
2020-019,2020-03-25,11:00 AM,11:30 AM,Attend phone conferece with GSK team. 
2020-019,2020-03-25,01:30 PM,03:30 PM,Attend phone conferece with GSK team. 
2020-019,2020-03-26,10:25 AM,10: 45 AM,"Review Securities Deposit of GSK vis-à-vis SEC MC No. 2, series of 2012. Email to SEC re: requirements and procedure on updating securities deposit expiring during the ECQ"
2020-019,2020-03-26,02:50 PM,03:00 PM,Inquire with LLDA via email regarding CAP
2020-019,2020-03-27,11:00 PM,11:25 PM,Determine process of substitution of securities deposit during ECQ. Send blind inquiry with the SEC.
2020-019,2020-04-06,10:30 AM,11:00 AM,Follow up blind inquiry with SEC. Draft email advice to GSK Cainta on substitution of securities deposit
2020-019,2020-04-15,01:00 AM,01:20 AM,"Draft update to GSK re SEC MC No. 11, s. 2002"
2020-024,2020-04-02,02:30 PM,03:00 PM,Review latest draft of Corporate Name and Primary Purpose. Draft advise on the name reservation and amendment of AOI and By-laws.
2020-025,2020-03-26,11:30 AM,12:00 PM,"Email to PRA on Medical Certificate in Japanese. Email to Erika re Medical Form in English, apostilled in Japan, and validity. "
2020-032,2020-03-17,10:10 AM,10:20 AM,Do blind inquiry with BSP re prescriptive period for BSP registration of foreign inward remittance 
2020-032,2020-04-20,03:30 PM,04:30 PM,"Draft advice to SGRE PH on the prescriptive period, requirements, and procedure for BSP registration of foreign inward remittance. Follow up with BSP on blind inquiry. "
2020-045,2020-03-20,08:00 PM,08:15 AM,Verify operations of PEZA and effect on expiring 47a2
2020-045,2020-03-26,05:00 PM,05:10 PM,Coordinate re: pick up of passports and ACR iCards
2020-045,2020-03-31,11:30 AM,11:40 AM,Follow up on effect of ECQ on 47a2 application of Sinha family
2020-045,2020-04-02,05:30 PM,05:40 PM,Advice SWA on status of Sinha application and TRV
2020-114,2020-03-26,10:00 AM,10:25 AM,Email to Bas Hogendorf re: suspension of mediation. Email to Atty. Ramon Ampil re: status of mediation. 
2020-050,2020-03-26,01:00 PM,01:15 PM,Prepare BIR Form 1904 and checklist of documents for TIN of Mariana Sinuraya of GUPTI
2020-050,2020-03-26,02:00 PM,02:15 PM,Email Mariana Sinuraya for the requirements
2020-050,2020-04-01,06:00 PM,07:00 PM,Draft response on tax liability inquiry GUPTI
2020-051,2020-03-26,01:45 PM,02:00 PM,Review FNPF Engagement Letter for Tax Memo 
2020-052,2020-03-26,02:00 PM,02:15 PM,Review FNPF Engagement Letters for Review of Employment Contract
