File Reference No:,Date (YYYY-MM-DD),Start Time,End Time,Work Particulars
2019-050,2020-04-16,03:10 PM,03:20 PM,Consider YeWon's email asking for updates on this matter. Draft reply to YeWon.
2019-050,2020-04-16,04:05 PM,04:15 PM,Draft follow-up email to Quadx's lawyer.
2019-052,2020-03-02,11:50 AM,12:00 PM,Draft email to Ms. Renet confirming the filing of the Answer/Reply to Banaag's appeal.
2019-052,2020-03-09,02:00 PM,02:15 PM,Examine Banaag's Answer.
2019-052,2020-03-09,06:15 PM,06:25 PM,Review the email regarding our receipt of Banaag's Answer.
2019-052,2020-03-18,01:00 PM,01:10 PM,Review email to SPO regarding the closure of NLRC offices in Luzon and effect on the filing of our Reply to Banaag's Answer.
2019-084,2020-03-09,04:00 AM,02:00 PM,Travel to Polomolok. Attendance at pre-trial.
2019-084,2020-03-10,08:00 AM,01:00 PM,Travel from Polomolok.
2019-084,2020-03-13,02:40 PM,03:00 PM,Examine Plaintiffs' pre-trial brief and judicial affidavit. Draft email report to Atty. Almero regarding the 09 March 2020 hearing for pre-trial and receipt of Plaintiffs' pre-trial brief and JA.
2020-019,2020-03-06,02:30 PM,03:00 PM,Review the permits/licenses table as filled up by GSK.
2020-019,2020-03-25,09:00 AM,10:00 AM,Conference call with GSK EHS and Engineering.
2020-019,2020-03-25,10:00 AM,10:45 AM,Conference call with GSK HR.
2020-019,2020-03-25,11:00 AM,11:30 AM,Conference call with GSK Supply Chain and Regulatory.
2020-019,2020-03-25,01:30 PM,02:00 PM,Conference call with GSK Finance.
2020-019,2020-03-25,02:00 PM,03:30 PM,Conference call with GSK (summary of discussions).
2020-019,2020-03-24,02:00 PM,03:00 PM,"Internal meeting with RSS, MCM, KMS, MKAT, DJMZ, and VGD in preparation for the conference call on 25 March 2020."
2020-022,2020-03-09,05:30 PM,06:00 PM,"Consider Gia's email asking for clarification as to whether we can allege likelihood of confusion based on the client’s trade name if the applied-for mark is not in use, and how we would prove that element. Draft reply to Gia."
2020-022,2020-03-12,08:00 PM,08:15 PM,Revise reply to Gia by adding the discussion in the ASEAN Guidelines on trade names.
2020-022,2020-03-13,05:10 PM,05:30 PM,Consider Gia's email requesting us to watch the application. Check the status of the application. Draft reply to Gia with the cease and desist letter.
2020-022,2020-03-17,10:30 AM,11:30 AM,"Consider Gia's email with the revised cease and desist letter. Check if the websites use ""LS&CO"" when referring to Levi's. Further revise the letter. Draft reply to Gia."
2020-022,2020-03-19,10:30 AM,11:00 AM,Consider Gia's email approving the revised cease and desist letter. Finalize cease and desist letter and email to be sent to applicant's representative.
2020-022,2020-03-19,03:40 PM,03:50 PM,Draft email to Gia confirming the email transmission of the cease and desist letter to applicant's representative.
2020-022,2020-04-02,02:40 PM,03:00 PM,Draft email to Gia advising her that we have not yet received any feedback from the applicant's representative regarding our requests in the cease and desist letter.
2020-048,2020-04-07,01:00 PM,09:00 PM,"Consider client's email requesting an assessment of the practical and legal risks of Amazon's use of the title ""UNCOUPLED"" given the ABS-CBN series, ""UNCOUPLING."" Draft assessment."
2020-048,2020-04-08,11:15 AM,12:00 PM,"Revise and finalize reviewed ""UNCOUPLED"" assessment."
2020-048,2020-04-14,12:00 PM,6:00 PM,"Consider client's email  requesting an assessment of the practical and legal risks of Amazon's use of the alternate titles ""UNCOUPLED IN RIO"" and ""RIO, UNCOUPLED."""
2020-048,2020-04-15,11:30 AM,04:30 PM,Continue drafting the assessment.
2020-048,2020-04-17,12:30 PM,01:00 PM,Revise reviewed assessment.
2020-048,2020-04-17,01:30 PM,03:30 PM,Finalize assessment.
