CODE,NAME
C-0115,"GREENBELT PARKPLACE CONDOMINIUM ASSOCIATION, INC."
C-0116,"GROUP M PHILIPPINES, INC."
C-0117,GTVL MANUFACTURING INDUSTRIES INCORPORATION
C-0118,GULF AIR
C-0119,"HAVI LOGISTICS PHILIPPINES, INC. [formerly HAVI FOODS SERVICES PHILIPPINES, INC.]"
C-0120,"HEIMASIA, INC."
C-0121,"HEIMISLA, CORPORATION"
C-0122,HEINEKEN ASIA PACIFIC EXPORT LIMITED
C-0123,HEINEKEN INTERNATIONAL B.V.
C-0124,HOLMAN FENWICK WILLAN
C-0125,"HOLMAN FENWICK WILLAN [CATHAY PACIFIC AIRWAYS, LTD.]"
C-0126,"HOLMAN FENWICK WILLAN [LGC, PHILJETS, CGIC, AIRBUS]"
C-0127,HOLMAN FENWICK WILLAN [METROJET]
C-0128,HOLMAN FENWICK WILLAN [PHILIPPINE AIRLINES]
C-0129,INFANT AND PEDIATRICS NUTRITION ASSOCIATION OF THE PHILIPPINES (IPNAP)
C-0130,"INFORMATICS COMPUTER INSTITUTES PHILIPPINES, INC."
C-0131,"INFORMATICS HOLDINGS PHILIPPINES, INC."
C-0132,"INNITY PHILIPPINES, INC."
C-0133,"INTER GLOBAL ALLIANCES, INC."
C-0134,"INTERGEN PROPERTIES, INC."
C-0135,"INTERLAB PROPERTIES, INC."
C-0136,"INTERPHIL LABORATORIES, INC."
C-0137,"INTERVET PHILIPPINES, INC."
C-0138,INVENT ASIA LIMITED HONG KONG
C-0139,"IONICS-EMS, INC."
C-0140,"IPAY88 PHILIPPINES, INC."
C-0141,"IPG MEDIABRANDS PHILIPPINES, INC."
C-0142,"ISHIDA PHILIPPINES TUBE CO., INC. [formerly KAWASHO TUBE PHILIPPINES, INC.]"
C-0143,"J-PAC LOGISTICS, INC. [formerly KAWATETSU  PAC-ATLANTIC TRANSPORT, INC.]"
C-0144,"JAMES HARDIE PHILIPPINES, INC."
C-0145,JAYJAY APPAREL MANUFACTURING CORPORATION
C-0146,JCR MANAGEMENT AND REALTY CORPORATION
C-0147,"JD HOLDINGS, INC. (JD TEXTILE INDUSTRIES, INC.)"
C-0148,"JESI A. MENDEZ SALON GROUP, INC."
C-0149,JFE CIVIL ENGINEERING & CONSTRUCTION CORPORATION
C-0150,JFE SHOJI ELECTRONICS CORPORATION
C-0153,"JFE SHOJI PHILIPPINES, INC. [formerly KAWASHO PHILIPPINES, INC.]"
C-0155,JFE SHOJI STEEL PHILIPPINES INC. [formerly KAWASAKI STEEL CORPORATION]
C-0151,"JFE SHOJI STEEL PHILIPPINES, INC. [formerly KAWASHO STEEL PHILIPPINES, INC.]"
C-0152,JFE SHOJI TRADE CORPORATION [formerly KAWASHO CORPORATION]
C-0154,JFE SHOJI-JAPAN
C-0156,"JH-REEL REALTY, INC. (JH-REEL)"
C-0157,"JOBSTREET.COM PHILIPPINES, INC."
C-0158,JOHN CLEMENTS CONSULTANTS INC
C-0159,"K AND K CENTRAL MOLD, INC."
C-0160,"K AND K MOLDING, INC."
C-0161,KAWASAKI MOTORS PHILIPPINES CORPORATION
C-0162,"KELPHIL, INC."
C-0163,KENNEDYS
C-0164,"KEPPEL PROPERTIES PHILIPPINES, INC."
C-0165,KILPATRICK TOWNSEND & STOCKTON LLP [FACEBOOK]
C-0166,KILPATRICK TOWNSEND & STOCKTON LLP [formerly TOWNSEND & TOWNSEND & CREW LLP]
C-0167,KILPATRICK TOWNSEND & STOCKTON LLP [INSTAGRAM]
C-0168,KILPATRICK TOWNSEND & STOCKTON LLP [LEVI STRAUSS & CO.]
C-0169,KILPATRICK TOWNSEND & STOCKTON LLP [ORACLE INTERNATIONAL CORPORATION]
C-0170,KLM ROYAL DUTCH AIRLINES
C-0171,KLM ROYAL DUTCH AIRLINES CARGO MNL
C-0172,KMPC REALTY CORPORATION
C-0173,"KOCH COMPANIES PUBLIC SECTOR, LLC"
C-0174,"KOHWA PHILIPPINES, INC."
C-0175,"LA SUERTE CIGAR & CIGARETTE FACTORY, TELENGTAN BROTHERS & SONS INC."
C-0176,LACKENBACH SIEGEL LLP
C-0177,"LANTAWAN HOLDINGS, INC."
C-0178,LAYTONS SOLICITORS LLP
C-0179,"LAZADA E-SERVICES PHILIPPINES, INC."
C-0180,"LAZADA SINGAPORE PTE., LTD."
C-0181,LEE-BARBER GOODRICH & CO.
C-0182,"LIZARDBEAR TASKING, INC. (TASK US)"
C-0183,"M.S. FLORENDO & SONS, INC."
C-0184,"MACQUARIE ADVISORS (PHILIPPINES), INC."
C-0185,MACQUARIE GROUP SERVICES PHILIPPINES INC.
C-0186,"MAHINTANA FOUNDATION, INC."
C-0187,MALAYSIA AIRLINES BERHAD
C-0188,MALIPAJO CORPORATION
C-0189,"MANILA POLO CLUB, INC."
C-0190,"MANO AMIGA ACADEMY, INC."
C-0191,"MARANKO PROPERTIES, INC."
C-0192,MARUBENI WESTMONT PTE. LTD.
C-0193,MARY CHILES GENERAL HOSPITAL
C-0194,"McCONNELL DOWELL PHILIPPINES, INC."
C-0195,McDONALD'S CORPORATION
C-0196,MERCK SHARP AND DOHME (I.A.) LLC
C-0197,MERCK SHARP AND DOHME-ASIA SOUTH
C-0198,"METROVET, INC."
C-0199,"MEVA PHILIPPINES, INC."
C-0200,MILBANK TWEED HADLEY AND MACLOY     (AIR ASIA)
C-0201,"MINACS GROUP, INC. (NOW: CONCENTRIX SERVICES PHILIPPINES, INC."
C-0202,MISSION REALTY AND MANAGEMENT CORPORATION
C-0203,MONTEREY FOODS CORPORATION
C-0204,"MOTOROLA SOLUTIONS PHILIPPINES, INC [formerly MOTOROLA COMMUNICATION PHILIPPINES, INC.]"
C-0205,"MOVENT, INC."
C-0206,"MSD ANIMAL HEALTH (PHILS.), INC. [formerly SCHERING PLOUGH ANIMAL HEALTH, INC.]"
C-0207,NAVOTAS INDUSTRIAL CORPORATION
C-0208,NLEX CORPORATION [formerly TOLLWAYS MANAGEMENT CORPORATION]
C-0209,ON SEMICONDUCTOR (U.S.)
C-0210,"ON SEMICONDUCTOR CEBU PHILIPPINES, INC. [formerly FAIRCHILD SEMICONDUCTOR (PHILIPPINES), INC. / MOTOROLA PHILIPPINES, INC.]"
C-0211,ON SEMICONDUCTOR CORPORATION
C-0212,ON SEMICONDUCTOR PHILIPPINE DESIGN CENTER
C-0213,"ON SEMICONDUCTOR PHILIPPINES, INC. [formerly SCG PHILIPPINES, INC / MOTOROLA PHILIPPINES, INC.]"
C-0214,"ON SEMICONDUCTOR SSMP PHILIPPINES, CORPORATION"
C-0215,ONE BEVERLY PLACE CONDOMINIUM
C-0216,ORACLE (PHILIPPINES) CORPORATION
C-0217,"ORACLE CORPORATION SINGAPORE PTE., LTD."
C-0218,"ORGANON PHILS., INC."
C-0219,"ORION MANILA, INC."
C-0220,ORTIGAS & COMPANY LIMITED PARTNERSHIP
C-0221,"PAAN ASIA HOLDINGS, INC."
C-0222,PACE MEGA RESOURCES AND DEVELOPMENT CORPORATION
C-0223,"PACIFIC INTERNATIONAL TERMINAL SERVICES, INC. (PACINTER)"
C-0224,PANMANHATTAN MARKETING CORPORATION
C-0225,"PERSTIMA (PHILIPPINES), INC. [PERSTIMA BERHAD]"
C-0226,"PH RENEWABLE, INC."
C-0227,"PHILIPPINE AIRLINES, INC."
C-0228,"PHILIPPINE AIRLINES, INC. / WILLIS TOWERS WATSON"
C-0229,PHILIPPINE BAR ASSOCIATION
C-0230,PHILIPPINE MINING SERVICES CORPORATION
C-0231,PHILIPPINE SINTER CORPORATION
C-0232,PHILIPPINE SUNDT CONSTRUCTION AND DEVELOPMENT CORPORATION
C-0233,"PHILIPPINE TOBACCO INSTITUTE, INC."
C-0234,"PHILLINE INTERNATIONAL HOLDINGS, INC."
C-0235,"PHILSC BUSINESS HOLDING CO., INC."
C-0236,POLISH INVESTMENT AND TRADE AGENCY JOINT-SHARE COMPANY (PAIH S.A.)
C-0237,"PORTSIDE PROPERTIES PHILIPPINES, INC."
C-0238,PRICELINE.COM LLC
C-0239,"PROFESSIONALS, INC."
C-0240,"PSCRP PROPERTY HOLDINGS, INC. "
C-0241,"QPAX TRAFFIC SYSTEMS, INCORPORATED"
C-0242,"QUADRANT INFORMATION SERVICES, INC."
C-0243,RCBC SAVINGS BANK
C-0244,RGA INTERNATIONAL REINSURANCE COMPANY LIMITED 
C-0245,RGA REINSURANCE COMPANY
C-0246,RIOFIL CORPORATION
C-0247,RIZAL COMMERCIAL BANKING CORPORATION
C-0248,"RMH TELESERVICES ASIA PACIFIC, INC."
C-0249,"ROMAN CATHOLIC BISHOP OF THE DIOCESE OF LAOAG, INC."
C-0250,"ROYAL ASIA LAND, INC."
C-0251,"ROYALTON CAPITAL PTE., LTD."
C-0252,"SAFFRONHILL PHILIPPINES, INC."
C-0253,"SALVERGROVE PHILIPPINES, INC."
C-0254,"SAN HERRERA INVESTMENT HOLDING, INC."
C-0255,SAN LORENZO DEVELOPMENT CORPORATION
C-0256,SAN MIGUEL CORPORATION
C-0257,"SAN MIGUEL FOODS, INC."
C-0258,"SAN MIGUEL PROPERTIES, INC."
C-0259,SANDVIK INTELLECTUAL PROPERTY AKTIEBOLAG (AB)
C-0260,SANDVIK TAMROCK  (PHILIPPINES) INC
C-0261,"SANYO DENKI PHILIPPINES, INC."
C-0262,"SARANGANI AGRICULTURAL CO., INC."
C-0263,SARANGANI RESOURCES CORPORATION
C-0264,SCHERING PLOUGH CORPORATION
C-0265,"SCHMIDT ELECTRONICS (PHILIPPINES), INC. [formerly FINTOCE TECHNOLOGIES, INC.]"
C-0266,SCHMIDT ELECTRONICS GROUP LIMITED
C-0267,SCHMIDT GROUP OF COMPANIES
C-0268,"SCHMIDT PHILIPPINES, INC."
C-0269,"SHANG ROBINSONS PROPERTIES, INC."
C-0270,"SHEARWATER HEALTH ADVISORS, INC. [formerly HCCA HEALTH CONNECTIONS, INC.]"
C-0271,"SHEARWATER HEALTH EVOLUTION, INC. [formerly HCCA PHILIPPINES, INC.]"
C-0272,"SHEARWATER HEALTH, INC."
C-0276,"SIEMENS ENERGY INC. (formerly SIEMENS POWER OPERATIONS, INC.)"
C-0273,"SIEMENS GAMESA RENEWABLE ENERGY TECHNOLOGY (CHINA) CO., LTD."
C-0274,"SIEMENS GAMESA RENEWABLE ENERGY, INC. [formerly SIEMENS WIND POWER, INC.]"
C-0275,"SIEMENS HEALTHCARE, INC."
C-0277,"SIEMENS, INC."
C-0278,SNP ESTATE CORPORATION
C-0279,SPRINT CONSULTANCY INC.
C-0280,STEEL CORPORATION OF THE PHILIPPINES
C-0281,STYLE & TREND INTERNATIONAL CORPORATION
C-0282,"SUMIFRU PHILIPPINES, INC."
C-0283,"SUMINAC PHILIPPINES, INC."
C-0284,SUMITOMO NACCO FORKLIFT
C-0285,"SUNLIFE ASSET MANAGEMENT, INC. (SLAMCI)"
C-0286,SUNLIFE ASSURANCE COMPANY OF CANADA
C-0287,"SUNLIFE FINANCIAL ASIA SERVICES, LTD."
C-0288,"SUNLIFE GREPA FINANCIAL, INC."
C-0289,"SUNLIFE OF CANADA (PHILIPPINES), INC."
C-0290,"SUSSEX GENERAL CONTRACTING (PHILIPPINES), INC."
C-0291,"TABAC, INC"
C-0292,"TABANGAO REALTY, INC."
C-0293,"TELEPERFORMANCE (TPPH-FHCS, INC.)PEOPLE SUPPORT, INC. [formerly AEGIS PEOPLE SUPPORT, INC.]"
C-0294,"TEXACO PHILIPPINES, INC."
C-0295,THE FIRM HOLDING CORPORATION
C-0296,THE FIRM REALTY CORPORATION
C-0297,THINKDWM
C-0300,"THOMAS LLOYD CTI PHILIPPINES HOLDINGS, INC."
C-0298,THOMASLLOYD CLEANTECH INFRASTRUCTURE FUND GMBH
C-0299,"THOMASLLOYD GROUP LTD. / THOMASLLOYD CTI ASIA HOLDINGS PTE., LIMITED"
C-0301,"TOTAL EMPLOYMENT ASSISTANCE AND MERCHANDISING SERVICES (TEAMS), INC."
C-0302,TRIANGLE HOLDINGS SYSTEM CORPORATION
C-0303,U-BIX CORPORATION
C-0304,"ULTREX MANAGEMENT & INVESTMENT, INC."
C-0305,UNION BANK OF CALIFORNIA N.A.
C-0306,"UNOTRONIX, INC."
C-0307,"VALUE ADDED OILFIELD SERVICES (VAOS), LTD."
C-0308,VEYANCE TECHNOLOGIES  INC.
C-0309,VIRGIN ENTERPRISES LIMITED
C-0310,VISAYAS SLAKED LIME CORPORATION
C-0311,"VISIONTEC HOLDING, INC."
C-0312,VIVIEN CHAN & CO.
C-0313,"WACK WACK RESIDENTS ASSOCIATION, INC."
C-0314,WAVEMAKER PHILIPPINES
C-0315,WEIL CORPORATION
C-0316,"WELLS FARGO ENTERPRISE GLOBAL SERVICES, LLC-PHILS. (WFEGS) [formerly WELLS FARGO SOLUTIONS PHILIPPINES, INC.]"
C-0317,WILLIS CORROON AEROSPACE (PHILIPPINE AIRLINES)
C-0318,WILSONVILLE REALTY DEVELOPMENT CORPORATION
C-0319,"WORKSAVERS PERSONNEL SERVICES, INC."
C-0320,"WORLDWIDE APPAREL MFG., INC."
C-0321,"WPP MARKETING COMMUNICATION, INC."
C-0322,"WUNDERMAN INTERNATIONAL PHILIPPINES, INC."
C-0323,X (COCOLIFE SHARES)
C-0324,XORIX BRANCH OFFICE
C-0325,"Y & R PHILIPPINES, INC. [formerly DENTSU YOUNG & RUBICAM-ALCANTARA, INC.]"
C-0326,"YOKOGAWA TECHNO PHILIPPINES, INC."
C-0327,"YOKOHAMA TIRE PHILIPPINES, INC."
C-0328,"YOKOHAMA TIRE SALES PHILIPPINES, INC."
C-0329,"ZURICH INSURANCE COMPANY, LIMITED (SINGAPORE BRANCH)"
C-0330,"ZURICH INSURANCE COMPANY, LIMITED (SWITZERLAND BRANCH)"
